Mode 1 Ntrig 50
32  95   0   0   0   0   0   0   2   0   0   4   5   9  18  20  20  32  44  46  47  50  50  49  50  49  50  50  50  50  50  50  50  50
32 101   0   0   0   0   0   0   0   0   0   1   7  12  12  22  21  28  36  36  45  47  45  49  50  49  50  50  50  50  50  50  50  50
32  89   0   0   0   0   0   0   0   1   5   5   8  12  18  21  24  33  32  41  44  47  47  50  50  50  50  50  50  50  50  50  50  50
32  99   0   0   0   0   0   0   0   0   0   1   1   5  15  26  21  34  33  40  46  46  47  48  49  50  49  49  50  50  50  50  50  50
32  97   0   0   0   0   0   0   0   0   0   3   5   8  12  12  28  33  44  45  46  46  46  48  49  49  49  50  50  50  50  50  50  50
32  90   0   0   0   0   0   0   1   2   1   3  11  17  21  19  28  36  34  39  46  47  50  50  50  50  50  50  50  50  50  50  50  50
32  89   0   0   0   0   0   0   0   2   1   4  10  15  29  25  29  25  30  40  44  47  50  50  50  50  50  50  50  50  50  50  50  50
32  95   0   0   0   0   1   0   3   0   2   6   8   7  17  16  32  25  41  47  45  49  49  50  50  50  50  50  50  50  50  50  50  50
32  94   0   0   0   0   0   4   0   4   3   2   4  13  10  19  20  32  37  43  48  50  49  50  50  50  50  50  50  50  50  50  50  50
32  87   0   0   0   0   0   0   0   1   2   8   6   8  16  16  33  30  29  35  40  44  46  49  50  49  50  50  50  50  50  50  50  50
32  90   0   0   0   0   0   0   0   2   3   3   7   8  14  23  15  30  40  34  45  43  48  50  50  50  50  50  50  50  50  50  50  50
32  86   0   0   0   0   0   0   0   2   1   7   8  11  18  28  29  34  32  39  40  46  47  47  49  50  50  50  50  50  50  50  50  50
32  97   0   0   0   0   0   0   0   0   0   1   4   5  11  16  31  35  42  47  46  50  50  49  50  48  50  50  50  50  50  50  50  50
32 100   0   0   0   0   0   0   0   0   0   0   4  11  13  22  28  35  38  44  45  47  48  48  49  50  50  50  50  50  50  50  50  50
32  90   0   0   0   0   0   1   2   0   8   7   9  13  19  24  24  29  40  37  43  46  47  50  50  50  50  50  50  50  50  50  50  50
32  96   0   0   0   1   1   0   0   1   2   3   5   5  10  14  24  42  42  47  48  50  50  50  50  50  50  50  50  50  50  50  50  50
32  92   0   0   0   1   0   0   0   1   1   4   8   9  14  20  23  34  28  40  46  50  48  50  49  50  50  50  50  50  50  50  50  50
32  95   0   0   0   0   0   0   0   1   0   0   6   4   7  15  23  22  45  48  47  49  49  50  50  49  50  50  50  50  50  50  50  50
