 3   Pix  0  0
 6   Pix  0  1
 5   Pix  0  2
 2   Pix  0  3
 9   Pix  0  4
 9   Pix  0  5
10   Pix  0  6
 6   Pix  0  7
10   Pix  0  8
 8   Pix  0  9
11   Pix  0 10
10   Pix  0 11
 9   Pix  0 12
10   Pix  0 13
 6   Pix  0 14
11   Pix  0 15
 9   Pix  0 16
10   Pix  0 17
10   Pix  0 18
10   Pix  0 19
 7   Pix  0 20
 8   Pix  0 21
13   Pix  0 22
 7   Pix  0 23
 9   Pix  0 24
 9   Pix  0 25
14   Pix  0 26
10   Pix  0 27
 9   Pix  0 28
 6   Pix  0 29
11   Pix  0 30
 5   Pix  0 31
 8   Pix  0 32
12   Pix  0 33
 7   Pix  0 34
13   Pix  0 35
13   Pix  0 36
 9   Pix  0 37
10   Pix  0 38
11   Pix  0 39
 9   Pix  0 40
 9   Pix  0 41
10   Pix  0 42
 9   Pix  0 43
12   Pix  0 44
10   Pix  0 45
 9   Pix  0 46
10   Pix  0 47
10   Pix  0 48
12   Pix  0 49
12   Pix  0 50
 7   Pix  0 51
12   Pix  0 52
 9   Pix  0 53
11   Pix  0 54
 8   Pix  0 55
11   Pix  0 56
10   Pix  0 57
11   Pix  0 58
10   Pix  0 59
11   Pix  0 60
 9   Pix  0 61
 9   Pix  0 62
 9   Pix  0 63
12   Pix  0 64
 8   Pix  0 65
11   Pix  0 66
 8   Pix  0 67
 9   Pix  0 68
 5   Pix  0 69
 5   Pix  0 70
 6   Pix  0 71
10   Pix  0 72
 9   Pix  0 73
 9   Pix  0 74
 8   Pix  0 75
 8   Pix  0 76
 4   Pix  0 77
 8   Pix  0 78
 6   Pix  0 79
 8   Pix  1  0
 6   Pix  1  1
 7   Pix  1  2
 8   Pix  1  3
 8   Pix  1  4
 7   Pix  1  5
 8   Pix  1  6
 6   Pix  1  7
10   Pix  1  8
10   Pix  1  9
 9   Pix  1 10
10   Pix  1 11
11   Pix  1 12
 8   Pix  1 13
 9   Pix  1 14
11   Pix  1 15
 7   Pix  1 16
 8   Pix  1 17
12   Pix  1 18
 7   Pix  1 19
15   Pix  1 20
14   Pix  1 21
11   Pix  1 22
 9   Pix  1 23
 6   Pix  1 24
10   Pix  1 25
14   Pix  1 26
 9   Pix  1 27
 7   Pix  1 28
10   Pix  1 29
10   Pix  1 30
11   Pix  1 31
10   Pix  1 32
10   Pix  1 33
11   Pix  1 34
13   Pix  1 35
 9   Pix  1 36
 9   Pix  1 37
11   Pix  1 38
11   Pix  1 39
12   Pix  1 40
15   Pix  1 41
11   Pix  1 42
13   Pix  1 43
12   Pix  1 44
 9   Pix  1 45
10   Pix  1 46
 9   Pix  1 47
 9   Pix  1 48
10   Pix  1 49
 9   Pix  1 50
11   Pix  1 51
 9   Pix  1 52
13   Pix  1 53
12   Pix  1 54
11   Pix  1 55
12   Pix  1 56
10   Pix  1 57
 6   Pix  1 58
 8   Pix  1 59
10   Pix  1 60
11   Pix  1 61
