#
#--------LOG from Wed 08 Apr 2015 at 18h:20m:20s ---------
#
1428510019	 16.99
1428510024	 17.01
1428510030	 17.03
1428510035	 17.01
1428510040	 17.00
1428510046	 16.97
1428510051	 16.91
1428510057	 16.83
1428510062	 16.75
1428510067	 16.68
1428510073	 16.61
1428510078	 16.51
1428510083	 16.44
1428510088	 16.38
1428510093	 16.33
1428510099	 16.29
1428510104	 16.26
1428510109	 16.28
1428510115	 16.33
1428510120	 16.43
1428510125	 16.53
1428510131	 16.62
1428510136	 16.73
1428510141	 16.78
1428510147	 16.84
1428510152	 16.88
1428510158	 16.91
1428510163	 16.93
1428510168	 16.95
1428510174	 17.00
1428510179	 17.00
1428510184	 17.01
1428510189	 17.03
1428510194	 16.99
1428510201	 16.93
1428510206	 16.88
1428510211	 16.83
1428510216	 16.76
1428510221	 16.70
1428510227	 16.62
1428510232	 16.57
1428510237	 16.50
1428510242	 16.42
1428510247	 16.38
1428510253	 16.32
1428510258	 16.28
1428510263	 16.29
1428510268	 16.32
1428510273	 16.39
1428510279	 16.52
1428510284	 16.60
1428510289	 16.68
1428510295	 16.78
1428510300	 16.84
1428510305	 16.89
1428510310	 16.94
1428510316	 16.98
1428510321	 16.99
1428510326	 17.02
1428510332	 17.04
1428510337	 17.04
1428510342	 17.01
1428510348	 16.93
1428510353	 16.87
1428510358	 16.81
1428510364	 16.72
1428510369	 16.66
1428510375	 16.58
1428510380	 16.53
1428510385	 16.47
1428510390	 16.40
1428510395	 16.36
1428510400	 16.30
1428510406	 16.29
1428510411	 16.31
1428510417	 16.35
1428510422	 16.42
1428510427	 16.51
1428510432	 16.62
1428510437	 16.69
1428510442	 16.75
1428510447	 16.83
1428510452	 16.87
1428510458	 16.92
1428510463	 16.96
1428510468	 16.98
1428510473	 17.01
1428510478	 17.03
1428510484	 17.04
1428510489	 17.01
1428510494	 16.95
1428510500	 16.87
1428510505	 16.79
1428510511	 16.71
1428510516	 16.62
1428510521	 16.57
1428510527	 16.48
1428510532	 16.41
1428510538	 16.36
1428510543	 16.31
1428510548	 16.28
1428510553	 16.29
1428510558	 16.33
1428510564	 16.40
1428510569	 16.48
1428510574	 16.56
1428510579	 16.64
1428510585	 16.76
1428510590	 16.85
1428510595	 16.90
1428510600	 16.95
1428510606	 16.99
1428510611	 17.01
1428510616	 17.00
1428510621	 17.01
1428510626	 16.98
1428510632	 16.94
1428510637	 16.88
1428510642	 16.83
1428510647	 16.76
