Pulse heights for the following Vcal values:
Low range:  50 100 150 200 250 
High range:  30 50 70 90 200 

  31  43  55  69  85  72 117 162 208 255    Pix  1 14
  41  52  64  78  94  80 127 170 216 255    Pix  1 15
  42  52  66  80  95  79 127 171 215 255    Pix  1 16
  42  52  67  80  95  79 127 171 220 255    Pix  1 17
  34  45  59  72  86  74 119 161 207 255    Pix  1 18
  32  44  56  69  85  70 115 159 206 255    Pix  1 19
  33  44  57  71  86  73 118 162 207 255    Pix  1 20
  33  45  58  71  86  71 117 160 207 255    Pix  1 21
  32  45  58  72  87  71 117 160 207 255    Pix  1 22
  33  45  56  70  84  69 115 157 203 255    Pix  1 23
  28  38  50  64  79  65 111 156 201 255    Pix  1 24
  30  42  53  68  81  67 113 157 202 255    Pix  1 25
  30  38  52  63  79  65 111 153 199 255    Pix  1 26
  35  46  59  73  87  72 118 159 206 255    Pix  1 27
  31  43  54  67  81  68 113 157 203 255    Pix  1 28
  31  41  53  66  80  67 111 154 198 255    Pix  1 29
  26  36  47  62  78  62 108 151 195 255    Pix  1 30
  25  35  47  62  76  62 106 147 191 255    Pix  1 31
  29  37  50  63  79  63 110 154 198 255    Pix  1 32
  39  47  63  77  93  79 123 164 211 255    Pix  1 33
  41  52  65  80  94  79 126 169 213 255    Pix  1 34
  34  46  59  72  86  72 116 159 203 255    Pix  1 35
  32  44  56  69  84  69 115 157 205 255    Pix  1 36
  31  40  52  65  79  65 111 154 198 255    Pix  1 37
  29  39  52  63  79  63 110 153 197 255    Pix  1 38
  34  45  58  71  86  73 117 158 204 255    Pix  1 39
  33  44  56  70  84  71 115 158 205 255    Pix  1 40
  32  44  57  69  84  69 114 157 204 255    Pix  1 41
  29  39  50  64  78  63 110 153 196 255    Pix  1 42
  24  33  46  61  75  61 104 146 190 255    Pix  1 43
  22  34  47  60  75  60 105 147 192 255    Pix  1 44
  31  42  55  68  82  67 113 158 202 255    Pix  1 45
  35  46  59  73  86  73 117 158 206 255    Pix  1 46
  31  43  54  67  81  69 113 157 204 255    Pix  1 47
  23  33  46  60  74  61 105 146 191 255    Pix  1 48
  23  33  46  61  75  61 103 147 191 255    Pix  1 49
  24  33  46  61  74  60 105 148 192 255    Pix  1 50
  34  46  59  73  87  72 117 158 204 255    Pix  1 51
  37  47  61  75  88  75 117 160 206 255    Pix  1 52
  37  48  62  76  88  75 120 160 207 255    Pix  1 53
  31  42  54  68  83  69 113 156 203 255    Pix  1 54
  30  40  54  66  79  67 110 155 199 255    Pix  1 55
  29  36  47  62  77  62 107 148 192 255    Pix  1 56
  32  44  56  69  83  69 114 157 202 255    Pix  1 57
  33  45  56  70  83  69 114 157 201 255    Pix  1 58
  30  39  52  64  79  65 110 151 196 255    Pix  1 59
  22  32  45  59  71  59 102 143 188 255    Pix  1 60
  22  31  45  59  71  58 101 143 188 255    Pix  1 61
  29  38  51  63  78  63 110 149 195 255    Pix  1 62
  30  40  52  64  79  63 110 152 196 255    Pix  1 63
  31  43  55  69  83  69 114 158 203 255    Pix  1 64
  27  36  47  61  76  62 104 145 190 255    Pix  1 65
  24  33  46  59  73  60 103 145 190 255    Pix  1 66
  20  31  44  56  69  56 100 143 187 255    Pix  1 67
